region,pop_code,Fam,Ind,ind_code,index,1C,CV_Solanum,CV_Sample,batch
NY,MC,MC3,MC3-2,MC32B,1.463,1.89,3,2.65,2
NY,MC,MC3,MC3-1,MC31B,1.461,1.89,2.55,2.41,2
NY,MC,MC4,MC4-2,MC42A,1.495,1.94,2.9,2.59,1
NY,MC,MC4,MC4-1,MC41B,1.491,1.93,2.5,2.41,2
NY,MC,MC4,MC4-2B,MC42B,1.475,1.91,3.31,2.63,4
NY,MC,MC7,MC7-3,MC73A,1.499,1.94,3.88,3.83,1
NY,MC,MC7,MC7-2,MC72A,1.531,1.98,3.82,3.57,1
NY,MC,MC7,MC7-2C,MC72C,1.48,1.92,3.06,2.08,3
NY,MC,MC8,MC8-2C,MC82C,1.493,1.93,2.95,2.3,3
NY,MC,MC8,MC8-1C,MC81C,1.492,1.93,3.02,2.55,3
NY,MC,MC8,MC8-1B,MC81B,1.48,1.92,3,2.13,4
NY,MC,MC9,MC9-3,MC93A,1.495,1.94,3.7,3.18,1
NY,MC,MC9,MC9-2,MC92B,1.477,1.91,3.23,3.71,2
NY,MC,MC9,MC9-2C,MC92C,1.507,1.95,2.8,2.27,3
NY,MP,MP1,MP1-2,MP12A,1.506,1.95,3.11,2.65,1
NY,MP,MP1,MP1-1,MP11A,1.517,1.96,3.02,2.68,1
NY,MP,MP1,MP1-3B,MP13B,1.51,1.96,3.56,2.54,4
NY,MP,MP12,MP12-1,MP121A,1.495,1.94,3.19,2.67,1
NY,MP,MP12,MP12-2B,MP122B,1.498,1.94,3.29,2.58,4
NY,MP,MP12,MP12-1B,MP121B,1.535,1.99,3.07,2.46,4
NY,MP,MP14,MP14-1C,MP141C,1.68,2.18,2.92,2.11,3
NY,MP,MP14,MP14-2B,MP142B,1.608,2.08,4.6,3.92,4
NY,MP,MP14,MP14-1B,MP141B,1.763,2.28,3.97,3.26,4
NY,MP,MP15,MP15-1,MP151A,1.509,1.95,3.65,3.17,1
NY,MP,MP15,MP15-2,MP152B,1.48,1.92,3.21,2.83,2
NY,MP,MP15,MP15-1,MP151B,1.537,1.99,2.49,2.51,2
NY,MP,MP2,MP2-1,MP21B,1.481,1.92,2.62,2.29,2
NY,MP,MP2,MP2-2C,MP22C,1.505,1.95,2.92,2.51,3
NY,MP,MP2,MP2-2B,MP22B,1.501,1.94,3.75,2.67,4
NY,MP,MP4,MP4-2,MP42B,1.489,1.93,2.91,2.1,2
NY,MP,MP4,MP4-1C,MP41C,1.485,1.92,3.25,2.63,4
NY,MP,MP4,MP4-1B,MP41B,1.479,1.92,4.43,3.43,4
NY,MP,MP5,MP5-3,MP53A,1.55,2.01,3.99,3.06,1
NY,MP,MP5,MP5-2,MP52B,1.538,1.99,3.02,2.43,2
NY,MP,MP5,MP5-1B,MP51B,1.531,1.98,2.87,2.09,4
NY,MP,MP6,MP6-1C,MP61C,1.504,1.95,2.48,2.02,3
NY,MP,MP6,MP6-2B,MP62B,1.534,1.99,2.87,3.13,4
NY,MP,MP6,MP6-1B,MP61B,1.497,1.94,3.88,3.01,4
NY,MP,MP7,MP7-1,MP71A,1.512,1.96,4.77,3.84,1
NY,MP,MP7,MP7-2C,MP72C,1.529,1.98,2.73,2.22,3
NY,MP,MP7,MP7-1B,MP71B,1.512,1.96,3.34,2.6,4
NY,MP,MP9,MP9-2B,MP92B,1.502,1.95,2.91,2.32,4
NY,MP,MP9,MP9-1C,MP91C,1.49,1.93,3.8,2.97,4
NY,MP,MP9,MP9-1B,MP91B,1.499,1.94,3.66,2.95,4
VT,PR,PR1,PR1-3,PR13A,1.468,1.90,3.51,2.51,1
VT,PR,PR1,PR1-1,PR11A,1.476,1.91,2.88,2.64,1
VT,PR,PR1,PR1-2B,PR12B,1.441,1.87,3.82,2.94,4
VT,PR,PR1,PR1-1B,PR11B,1.45,1.88,3.87,3.5,4
VT,PR,PR11,PR11-1,PR111A,1.472,1.91,2.73,2.44,1
VT,PR,PR11,PR11-2,PR112B,1.457,1.89,2.7,3.37,2
VT,PR,PR11,PR11-1C,PR111C,1.451,1.88,3.65,2.53,3
VT,PR,PR12,PR12-1,PR121A,1.475,1.91,3.04,2.42,1
VT,PR,PR12,PR12-2,PR122B,1.474,1.91,2.82,2.27,2
VT,PR,PR12,PR12-1B,PR121B,1.443,1.87,3.62,2.42,4
VT,PR,PR16,PR16-1,PR161B,1.468,1.90,2.54,2.26,2
VT,PR,PR16,PR16-2B,PR162B,1.447,1.87,3.07,2.24,4
VT,PR,PR16,PR16-1C,PR161C,1.454,1.88,3.07,2.72,4
VT,PR,PR19,PR19-1,PR191A,1.483,1.92,2.82,2.48,1
VT,PR,PR19,PR19-2,PR192B,1.462,1.89,2.89,2.22,2
VT,PR,PR19,PR19-2C,PR192C,1.479,1.92,2.85,2.83,3
VT,PR,PR19,PR19-1C,PR191C,1.437,1.86,3.08,2.26,3
VT,PR,PR20,PR20-2,PR202B,1.453,1.88,2.84,2.23,2
VT,PR,PR20,PR20-1,PR201B,1.443,1.87,3.22,2.15,2
VT,PR,PR20,PR20-1C,PR201C,1.46,1.89,2.93,2.54,3
VT,PR,PR22,PR22-3,PR223A,1.461,1.89,2.74,2.56,1
VT,PR,PR22,PR22-2,PR222A,1.45,1.88,3.16,2.72,1
VT,PR,PR22,PR22-1,PR221A,1.462,1.89,3.19,2.76,1
VT,PR,PR22,PR22-1,PR221B,1.452,1.88,2.91,2.61,2
VT,PR,PR22,PR22-2C,PR222C,1.5,1.94,3.89,3.72,3
VT,PR,PR3,PR3-1,PR31A,1.497,1.94,3.7,3.62,1
VT,PR,PR3,PR3-3C,PR33C,1.44,1.86,3.27,2.35,3
VT,PR,PR3,PR3-1B,PR31B,1.462,1.89,3.69,3.16,4
VT,PR,PR7,PR7-3,PR73A,1.52,1.97,3.36,3.85,1
VT,PR,PR7,PR7-2,PR72B,1.469,1.90,2.63,2.59,2
VT,PR,PR7,PR7-2C,PR72C,1.467,1.90,2.77,2.72,3
VT,PR,PR9,PR9-3,PR93A,1.463,1.89,3.07,2.43,1
VT,PR,PR9,PR9-1,PR91A,1.459,1.89,3.11,3.19,1
VT,RM,RM12,RM12-2,RM122A,1.479,1.92,3.32,2.73,1
VT,RM,RM12,RM12-2B,RM122B,1.456,1.89,3.61,2.96,4
VT,RM,RM12,RM12-1B,RM121B,1.466,1.90,3.82,3.13,4
VT,RM,RM15,RM15-2,RM152B,1.459,1.89,2.82,2.52,2
VT,RM,RM15,RM15-3B,RM153B,1.444,1.87,3.07,2.99,4
VT,RM,RM15,RM15-2C,RM152C,1.448,1.88,3.41,2.5,4
VT,RM,RM5,RM5-2C,RM52C,1.452,1.88,2.79,2.38,3
VT,RM,RM5,RM5-2B,RM52B,1.468,1.90,2.77,2.67,3
VT,RM,RM5,RM5-1C,RM51C,1.458,1.89,2.9,2.18,3
VT,RM,RM5,RM5-1B,RM51B,1.471,1.90,3.03,2.95,3
VT,RM,RM51,RM51-2C,RM512C,1.455,1.88,3.2,2.79,3
VT,RM,RM51,RM51-1C,RM511C,1.458,1.89,2.96,2.37,3
VT,RM,RM51,RM51-2B,RM512B,1.458,1.89,3.73,3.27,4
VT,RM,RM52,RM52-3,RM523A,1.472,1.91,3.77,3.04,1
VT,RM,RM52,RM52-1,RM521B,1.464,1.90,2.44,2.31,2
VT,RM,RM52,RM52-1C,RM521C,1.464,1.90,2.8,2.36,3
VT,RM,RM53,RM53-3,RM533A,1.462,1.89,3.25,3.01,1
VT,RM,RM53,RM53-2B,RM532B,1.45,1.88,4.04,3.14,4
VT,RM,RM53,RM53-1B,RM531B,1.446,1.87,3.25,2.97,4
VT,RM,RM54,RM54-1,RM541A,1.467,1.90,3.07,2.28,1
VT,RM,RM54,RM54-1B,RM541B,1.453,1.88,3.4,3.05,3
VT,RM,RM54,RM54-2B,RM542B,1.447,1.87,3.95,3.35,4
VT,RM,RM56,RM56-1,RM561A,1.455,1.88,2.92,2.91,1
VT,RM,RM56,RM56-2,RM562B,1.444,1.87,3.51,2.82,2
VT,RM,RM56,RM56-1B,RM561B,1.473,1.91,3.11,2.8,3
VT,RM,RM6,RM6-2,RM62A,1.488,1.93,3,3.28,1
VT,RM,RM6,RM6-1,RM61A,1.498,1.94,3.01,3.14,1
VT,RM,RM6,RM6-2,RM62B,1.461,1.89,2.78,2.57,2
VT,RM,RM8,RM8-3B,RM83B,1.48,1.92,3.07,2.95,4
VT,RM,RM8,RM8-2B,RM82B,1.477,1.91,3.03,2.85,4
VT,RM,RM8,RM8-2A,RM82A,1.466,1.90,3.17,2.5,4
VT,SH,SH1,SH1-1,SH11A,1.463,1.89,2.4,2.37,1
VT,SH,SH1,SH1-4,SH14B,1.452,1.88,2.48,2.09,2
VT,SH,SH1,SH1-2,SH12B,1.469,1.90,2.79,2.37,2
VT,SH,SH1,SH1-1,SH11B,1.458,1.89,2.85,2.63,2
VT,SH,SH14,SH14-3,SH143A,1.469,1.90,3.11,2.59,1
VT,SH,SH14,SH14-2,SH142A,1.467,1.90,2.5,2.33,1
VT,SH,SH14,SH14-1C,SH141C,1.45,1.88,2.79,2.41,3
VT,SH,SH17,SH17-2,SH172A,1.444,1.87,3.87,4.01,1
VT,SH,SH17,SH17-1,SH171A,1.474,1.91,3.32,3.11,1
VT,SH,SH17,SH17-1,SH171B,1.458,1.89,2.7,2.31,2
VT,SH,SH17,SH17-2B,SH172B,1.464,1.90,3.87,2.91,4
VT,SH,SH18,SH18-2,SH182B,1.45,1.88,2.6,2.37,2
VT,SH,SH18,SH18-1,SH181B,1.45,1.88,2.8,2.54,2
VT,SH,SH18,SH18-1C,SH181C,1.46,1.89,2.85,2.53,3
VT,SH,SH23,SH23-2,SH232B,1.476,1.91,2.38,2.14,2
VT,SH,SH23,SH23-1,SH231B,1.5,1.94,2.73,2.29,2
VT,SH,SH23,SH23-1C,SH231C,1.456,1.89,2.81,1.85,3
VT,SH,SH24,SH24-2,SH242B,1.45,1.88,2.74,2.46,2
VT,SH,SH24,SH24-1,SH241B,1.482,1.92,3.36,3.59,2
VT,SH,SH24,SH24-1C,SH241C,1.475,1.91,3.42,3.52,3
VT,SH,SH25,SH25-3,SH253A,1.472,1.91,2.86,2.55,1
VT,SH,SH25,SH25-1,SH251B,1.469,1.90,2.43,2.57,2
VT,SH,SH25,SH25-1C,SH251C,1.443,1.87,3.23,2.88,4
VT,SH,SH26,SH26-1,SH261A,1.47,1.90,4.69,4.51,1
VT,SH,SH26,SH26-2,SH262B,1.474,1.91,2.7,2.47,2
VT,SH,SH26,SH26-1,SH261B,1.456,1.89,2.54,2.25,2
VT,SH,SH5,SH5-2,SH52A,1.465,1.90,3.36,3.37,1
VT,SH,SH5,SH5-2,SH52B,1.45,1.88,2.7,2.41,2
VT,SH,SH5,SH5-1C,SH51C,1.453,1.88,2.92,2.39,3
VT,SH,SH6,SH6-1,SH61A,1.458,1.89,3.23,3.58,1
VT,SH,SH6,SH6-2B,SH62B,1.458,1.89,3.57,3.35,4
VT,SH,SH6,SH6-1B,SH61B,1.45,1.88,3.23,2.83,4
VT,SP,SP10,SP10B-2C,SP10B2C,1.468,1.90,2.99,2.77,3
VT,SP,SP10,SP10B-1C,SP10B1C,1.473,1.91,2.65,2.62,3
VT,SP,SP10,SP10B2,SP10B2A,1.452,1.88,3.68,2.96,1
VT,SP,SP10,SP10B2,SP10B2B,1.466,1.90,3.55,2.71,2
VT,SP,SP16,SP16-2C,SP162C,1.443,1.87,3.13,2.43,4
VT,SP,SP16,SP16-2B,SP162B,1.434,1.86,3.03,2.45,4
VT,SP,SP16,SP16-1B,SP161B,1.446,1.87,3.73,2.86,4
VT,SP,SP18,SP18-3,SP183A,1.485,1.92,3.32,3.43,1
VT,SP,SP18,SP18-2,SP182A,1.466,1.90,2.97,2.71,1
VT,SP,SP18,SP18-1B,SP181B,1.42,1.84,3.04,2.75,4
VT,SP,SP20,SP20-2,SP202B,1.444,1.87,3.12,2.94,2
VT,SP,SP20,SP20-1,SP201B,1.458,1.89,3.34,2.48,2
VT,SP,SP20,SP20-2B,SP202B,1.437,1.86,3.63,2.87,4
VT,SP,SP2,SP2B-2C,SP2B2C,1.432,1.85,2.96,3.17,3
VT,SP,SP2,SP2B2,SP2B2A,1.471,1.90,2.91,2.98,1
VT,SP,SP2,SP2B3,SP2B3A,1.462,1.89,3.27,2.67,1
VT,SP,SP4,SP4B-2B,SP4B2B,1.466,1.90,3.66,3.66,4
VT,SP,SP4,SP4B-1B,SP4B1B,1.458,1.89,3.42,2.64,4
VT,SP,SP4,SP4B3,SP4B3B,1.472,1.91,2.64,2.48,2
VT,SP,SP5,SP5b-1B,SP5b1B,1.464,1.90,3.14,3.38,4
VT,SP,SP5,SP5B2,SP5B2A,1.527,1.98,3.26,4.69,1
VT,SP,SP5,SP5B3,SP5B3B,1.459,1.89,2.71,2.61,2
VT,SP,SP6,SP6B-2B,SP6B2B,1.44,1.86,4.11,3.37,4
VT,SP,SP6,SP6B-1C,SP6B1C,1.44,1.86,3.57,2.9,4
VT,SP,SP6,SP6B1,SP6B1B,1.449,1.88,3.24,2.31,2
VT,SP,SP8,SP8B-2C,SP8B2C,1.469,1.90,2.58,2.7,3
VT,SP,SP8,SP8B-1B,SP8B1B,1.456,1.89,2.91,2.77,4
VT,SP,SP8,SP8B2,SP8B2B,1.433,1.86,2.73,2.19,2
VT,SP,SP9,SP9B-1C,SP9B1C,1.451,1.88,3.11,2.56,4
VT,SP,SP9,SP9B1,SP9B1B,1.46,1.89,2.22,1.99,2
VT,SP,SP9,SP9B3,SP9B3A,1.496,1.94,3.1,2.69,1
VT,TH,TH10,TH10B1,TH10B1A,1.513,1.96,3.3,2.45,1
VT,TH,TH10,TH10B2,TH10B2A,1.515,1.96,3.09,2.79,1
VT,TH,TH10,TH10B2,TH10B2B,1.51,1.96,2.95,2.69,2
VT,TH,TH12,TH12B-1C,TH12B1C,1.518,1.97,2.92,2.31,3
VT,TH,TH12,TH12B1,TH12B1A,1.566,2.03,3.1,3.69,1
VT,TH,TH12,TH12B1,TH12B1B,1.501,1.94,3.36,2.86,2
VT,TH,TH14,TH14B-2C,TH14B2C,1.527,1.98,2.9,2.82,3
VT,TH,TH14,TH14B-1C,TH14B1C,1.506,1.95,2.68,2.47,3
VT,TH,TH14,TH14B-1B,TH14B1B,1.508,1.95,3.73,3.31,4
VT,TH,TH15,TH15B1,TH15B1A,1.511,1.96,2.74,2.21,1
VT,TH,TH15,TH15B2,TH15B2A,1.517,1.96,4.03,3.42,1
VT,TH,TH15,TH15B2,TH15B2B,1.487,1.93,3.28,2.6,2
VT,TH,TH19,TH19B-2C,TH19B2C,1.51,1.96,2.78,2.58,3
VT,TH,TH19,TH19B1,TH19B1A,1.516,1.96,3.81,3.18,1
VT,TH,TH19,TH19B3,TH19B3A,1.496,1.94,3.34,2.87,1
VT,TH,TH1,TH1B-C,TH1BC,1.511,1.96,2.84,2.17,3
VT,TH,TH1,TH1B-2B,TH1B2B,1.51,1.96,3.27,2.51,4
VT,TH,TH1,TH1B-1B,TH1B1B,1.526,1.98,4.09,3.98,4
VT,TH,TH1,TH1B1,TH1B1A,1.54,1.99,2.87,3.03,1
VT,TH,TH21,TH21B-2C,TH21B2C,1.488,1.93,3.04,2.56,3
VT,TH,TH21,TH21B-1C,TH21B1C,1.492,1.93,3.12,2.12,3
VT,TH,TH21,TH21B-1B,TH21B1B,1.502,1.95,3.34,2.77,3
VT,TH,TH22,TH22B-2C,TH22B2C,1.51,1.96,3.05,2.37,3
VT,TH,TH22,TH22B-1B,TH22B1B,1.492,1.93,3.07,2.72,3
VT,TH,TH22,TH22B1,TH22B1B,1.499,1.94,3.29,2.92,2
VT,TH,TH7,TH7B1,TH7B1A,1.523,1.97,4.31,3.81,1
VT,TH,TH7,TH7B1,TH7B1B,1.565,2.03,2.71,3.38,2
VT,TH,TH7,TH7B2,TH7B2A,1.514,1.96,2.96,2.39,1
VT,TH,TH8,TH8B-1C,TH8B1C,1.528,1.98,2.9,2.83,3
VT,TH,TH8,TH8B-1A,TH8B1A,1.514,1.96,2.97,2.28,3
VT,TH,TH8,TH8B1,TH8B1B,1.505,1.95,3.39,2.38,2
VT,TH,TH8,TH8B2,TH8B2B,1.488,1.93,3.08,4.27,2
VT,WR,WR,WR-1C,WR1C,1.451,1.88,3.75,2.68,3
VT,WR,WR13,WR13-2,WR132A,1.473,1.91,3.7,2.72,1
VT,WR,WR13,WR13-2,WR132B,1.458,1.89,2.73,2.49,2
VT,WR,WR13,WR13-1,WR131B,1.443,1.87,2.8,2.37,2
VT,WR,WR14,WR14-2,WR142A,1.464,1.90,3.7,3.37,1
VT,WR,WR14,WR14-2B,WR142B,1.451,1.88,4.34,2.95,4
VT,WR,WR14,WR14-1B,WR141B,1.442,1.87,2.94,2.56,4
VT,WR,WR17,WR17-2,WR172B,1.452,1.88,2.78,2.45,2
VT,WR,WR17,WR17-1,WR171B,1.454,1.88,2.73,2.1,2
VT,WR,WR17,WR17-2C,WR172C,1.456,1.89,2.82,2.46,3
VT,WR,WR21,WR21-1,WR211A,1.46,1.89,2.76,2.51,1
VT,WR,WR21,WR21B,WR21BB,1.43,1.85,2.55,2.4,2
VT,WR,WR21,WR21B-2C,WR21B2C,1.442,1.87,2.98,2.51,4
VT,WR,WR21,WR21B-2B,WR21B2B,1.443,1.87,4.56,3.49,4
VT,WR,WR21,WR21B-1C,WR21B1C,1.429,1.85,2.89,2.26,4
VT,WR,WR21,WR21B-1B,WR21B1B,1.424,1.84,4.02,3.04,4
VT,WR,WR21,WR21B2,WR21B2B,1.44,1.86,3.2,2.35,2
VT,WR,WR4,WR4-3,WR43A,1.462,1.89,2.27,2.13,1
VT,WR,WR4,WR4-2,WR42B,1.44,1.86,2.96,2.31,2
VT,WR,WR4,WR4-1B,WR41B,1.449,1.88,3.08,2.82,4
VT,WR,WR6,WR6B-2B,WR6B2B,1.455,1.88,3.34,2.54,3
VT,WR,WR6,WR6B-2B,WR6B2B,1.465,1.90,3.85,2.92,4
VT,WR,WR6,WR6B-1B,WR6B1B,1.471,1.90,3.29,2.53,4
VT,WR,WR7,WR7-2,WR72A,1.441,1.87,3.49,2.8,1
VT,WR,WR7,WR7-1,WR71A,1.475,1.91,2.96,3.04,1
VT,WR,WR8,WR8-2C,WR82C,1.447,1.87,2.92,2.58,3
VT,WR,WR8,WR8-1C,WR81C,1.49,1.93,3.26,3.86,3
VT,WR,WR8,WR8-2B,WR82B,1.484,1.92,5.34,4.58,4
VT,WR,WRR,WR R-1,WR R1A,1.478,1.91,2.62,2.6,1
VT,WR,WRR,WRR-1C,WRR1C,1.445,1.87,3.55,3.07,4
VT,WR,WRY,WRY-2B,WRY2B,1.433,1.86,4.13,3.02,4
VT,WR,WRY,WRY-1C,WRY1C,1.492,1.93,4.12,3.69,4
VT,WR,WRY,WRY2,WRY2A,1.456,1.89,2.69,2.41,1
NY,WV,WV1,WV1-3,WV13A,1.567,2.03,3.49,4.01,1
NY,WV,WV1,WV1-1,WV11B,1.468,1.90,2.87,2.43,2
NY,WV,WV1,WV1-2B,WV12B,1.496,1.94,3.26,3.06,4
NY,WV,WV10,WV10-2,WV102B,1.529,1.98,2.67,2.27,2
NY,WV,WV10,WV10-1C,WV101C,1.523,1.97,3.33,2.85,4
NY,WV,WV10,WV10-1B,WV101B,1.498,1.94,3.13,2.35,4
NY,WV,WV11,WV11-2,WV112A,1.517,1.96,3.07,2.69,1
NY,WV,WV11,WV11-2,WV112B,1.499,1.94,2.41,2.09,2
NY,WV,WV11,WV11-2C,WV112C,1.507,1.95,2.91,2.43,3
NY,WV,WV12,WV12-1,WV121A,1.505,1.95,3.16,2.77,1
NY,WV,WV12,WV12-2,WV122B,1.514,1.96,2.7,2.39,2
NY,WV,WV12,WV12-1,WV121B,1.504,1.95,4.11,4.26,2
NY,WV,WV2,WV2-1,WV21A,1.51,1.96,2.7,2.19,1
NY,WV,WV2,WV2-1,WV21B,1.499,1.94,2.87,2.39,2
NY,WV,WV2,WV2-1C,WV21C,1.478,1.91,3.15,2.74,3
NY,WV,WV3,WV3-2,WV32A,1.51,1.96,3.04,2.43,1
NY,WV,WV3,WV3-2C,WV32C,1.519,1.97,2.66,2.15,3
NY,WV,WV3,WV3-2B,WV32B,1.509,1.95,3.61,2.77,4
NY,WV,WV4,WV4-2,WV42B,1.493,1.93,3.01,2.66,2
NY,WV,WV4,WV4-2B,WV42B,1.491,1.93,2.99,2.55,3
NY,WV,WV4,WV4-1B,WV41B,1.489,1.93,2.67,2.07,4
NY,WV,WV6,WV6-3,WV63A,1.518,1.97,3.07,2.98,1
NY,WV,WV6,WV6-1,WV61A,1.51,1.96,2.62,2.4,1
NY,WV,WV6,WV6-1B,WV61B,1.503,1.95,3.43,3.04,4
NY,WV,WV7,WV7-3,WV73A,1.494,1.93,3.01,2.59,1
NY,WV,WV7,WV7-1,WV71A,1.526,1.98,3.42,3.02,1
NY,WV,WV7,WV7-1C,WV71C,1.554,2.01,3.16,2.39,3
NY,WV,WV7,WV7-2B,WV72B,1.535,1.99,2.97,2.49,4
NY,WV,WV8,WV8-1C,WV81C,1.498,1.94,2.26,1.99,3
NY,WV,WV8,WV8-2B,WV82B,1.501,1.94,2.79,2.3,4
NY,WV,WV8,WV8-1B,WV81B,1.468,1.90,3.67,2.65,4
