region,pop_code,Fam,Ind,ind_code,index,1C,CV_Solanum,CV_Sample,batch
NY,CO,CO4,CO4-1B,CO41B,1.516,1.96,2.81,2.4,4
NY,CO,CO6,CO6-2,CO62B,1.492,1.93,3.24,2.57,2
NY,CO,CO6,CO6-1C,CO61C,1.527,1.98,3.15,2.8,3
NY,CO,CO6,CO6-2C,CO62C,1.515,1.96,3.63,2.65,4
NY,CO,CO8,CO8-2,CO82B,1.518,1.97,2.52,2.61,2
NY,CO,CO8,CO8-1,CO81B,1.502,1.95,2.51,2.23,2
NY,CO,CO9,CO9-2C,CO92C,1.509,1.95,2.89,2.49,3
NY,CO,CO9,CO9-1C,CO91C,1.6,2.07,2.04,3.52,3
VT,DF,DF10,DF10-2,DF102B,1.456,1.89,3.16,2.62,2
VT,DF,DF10,DF10-2C,DF102C,1.466,1.90,3.94,3.06,4
VT,DF,DF11,DF11-1,DF111B,1.459,1.89,3.53,3.16,2
VT,DF,DF11,DF11-3B,DF113B,1.487,1.93,3.36,3.09,4
VT,DF,DF12,DF12-4C,DF124C,1.531,1.98,3.22,3.06,3
VT,DF,DF12,DF12-2C,DF122C,1.449,1.88,2.65,2.52,3
VT,DF,DF12,DF12-1C,DF121C,1.449,1.88,2.87,2.6,3
VT,DF,DF12,DF12-1B,DF121B,1.482,1.92,3.08,3.19,3
VT,DF,DF13,DF13-1,DF131A,1.456,1.89,2.8,2.5,1
VT,DF,DF13,DF13-2B,DF132B,1.456,1.89,3.25,3.03,3
VT,DF,DF13,DF13-1B,DF131B,1.455,1.88,2.96,2.58,4
VT,DF,DF16,DF16-3,DF163A,1.484,1.92,2.81,3.48,1
VT,DF,DF16,DF16-2,DF162A,1.479,1.92,3.74,3.31,1
VT,DF,DF16,DF16-2B,DF162B,1.486,1.92,3.34,2.62,4
VT,DF,DF16,DF16-1B,DF161B,1.449,1.88,3.24,2.3,4
VT,DF,DF19,DF19-2,DF192A,1.464,1.90,4.44,3.69,1
VT,DF,DF19,DF19-2C,DF192C,1.445,1.87,2.92,2.4,4
VT,DF,DF19,DF19-2B,DF192B,1.459,1.89,2.86,2.62,4
VT,DF,DF22,DF22-1C,DF221C,1.473,1.91,3.26,3.35,3
VT,DF,DF22,DF22-2B,DF222B,1.452,1.88,3.69,3.12,4
VT,DF,DF22,DF22-1B,DF221B,1.451,1.88,3.56,2.96,4
VT,DF,DF30,DF30-2,DF302A,1.465,1.90,3.04,2.56,1
VT,DF,DF30,DF30-1C,DF301C,1.461,1.89,3.5,3.27,3
VT,DF,DF36,DF36-2C,DF362C,1.468,1.90,3.19,3.04,4
VT,DF,DF6,DF6-3C,DF63C,1.457,1.89,3.12,2.65,4
VT,FC,FC11,FC11-2,FC112A,1.447,1.87,3.35,2.53,1
VT,FC,FC11,FC11-2C,FC112C,1.464,1.90,3.72,2.78,4
