id,cross,ht,wt,stemwid,NCap,NFl,dff,sla,damHt,damWt,damSW,damNCap,damNFl,damdff,damsla,sireHt,sireWt,sireSW,sireNCap,sireNFl,siredff,siresla,diffK1mean,diffK1sqmean
20,MP-5-1_x_SP-6B-2,12.57385598,-1.480274869,0.070513687,0.729232912,-7.244038445,2.632134506,2.11E-14,18.05553698,-0.679766592,-0.139484863,-1.6732367,-2.068285469,4.564248592,-0.018548631,-11.88892339,-3.169417972,0.110921783,-2.615154175,-0.950996954,NA,0.233432738,0.455618,0.207587762
21,MP-9-2_x_WR-R-1,-3.083023885,-1.695719642,-0.077503638,-3.306438408,-4.057984463,1.648376354,-7.54E-15,-4.146096114,1.852176844,0.196070627,2.004670494,-1.24120914,2.26357431,0.169089466,-0.330378384,-2.295907517,-0.200534847,-1.399374368,-1.334481384,-1.106645712,0.100002369,0.412604,0.170242061
22,MP-C-1_x_FC-26-1,-8.512141602,0.996302715,-0.103962484,3.587112619,3.507417219,NA,9.86E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,PF-19-2_x_CO-19-1,-5.439801271,-1.62551117,-0.122198037,-3.45419389,6.364313192,-3.5283294,-1.17E-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99998,0.99996
24,PR-12-1_x_JF-25-1,-8.140007388,-2.176300918,0.200343921,-7.821788251,-2.256728073,0.864774008,-4.81E-15,-10.81013342,-2.305703664,-0.314192514,-3.075578465,1.342814868,0.942802033,0.468731519,7.445375553,0.949107837,0.063169391,-1.114780621,-1.628812742,1.081497111,-0.09423408,NA,NA
25,PR-12-6_x_WV-8-2,4.080277209,-2.452568821,-0.088863951,-2.050882926,-3.387045554,1.314350126,NA,-10.81013342,-2.305703664,-0.314192514,-3.075578465,1.342814868,0.942802033,0.468731519,5.497818562,-0.615789481,-0.109766283,0.527720767,-1.729534512,-0.679992231,0.042014553,0.507343,0.25739692
26,PR-16-2_x_SP-6B-2,2.326536617,1.080520568,-0.03372928,4.464610895,-1.42111992,0.686904185,-4.55E-15,-10.7960147,2.193645291,-0.006676514,3.430705289,4.314442478,-1.544518095,-0.351040734,-11.88892339,-3.169417972,0.110921783,-2.615154175,-0.950996954,NA,0.233432738,0.894934,0.800906864
27,PR-16-2_x_WV-7-2,0.911073136,3.223676343,0.051600519,-1.892870878,12.15802548,-7.204775429,-7.86E-16,-10.7960147,2.193645291,-0.006676514,3.430705289,4.314442478,-1.544518095,-0.351040734,16.51042258,2.517685684,0.691521463,2.132009912,-2.375540514,3.136568011,-0.16987236,NA,NA
28,PR-2-1_x_WV-8-2,1.694968037,-1.289470058,-0.154917986,-0.418492979,-0.120513527,-0.352482612,-5.88E-15,NA,NA,NA,NA,NA,NA,NA,5.497818562,-0.615789481,-0.109766283,0.527720767,-1.729534512,-0.679992231,0.042014553,NA,NA
29,RM-53-1B_x_CO-2-1,-2.120940726,0.644662364,-0.020474399,-4.193191916,6.070043988,-3.133623354,NA,-1.688611497,1.684100945,0.022164872,2.221137086,3.180111105,-2.399352188,-0.042434802,4.424795607,1.061423188,-0.020518737,2.399391436,0.337684695,1.82469267,0.169109437,0.298576231,0.089147766
