ind_code,region,pop_code,fam,fam2,index,X1C,CV_Solanum,CV_Sample,batch,ht,stemwid,numcap,numfls,dff,bench,BIOMASS,SLA
CB8-1C,NY,CB,CB8,CB.8,NA,NA,NA,NA,NA,110.5,4.75,9,0,NA,C,6.5,4.112630383
CB8-2A,NY,CB,CB8,CB.8,NA,NA,NA,NA,NA,98.7,7.93,9,0,68,A,8,5.322227554
CB8-2B,NY,CB,CB8,CB.8,1.487,1.93,3.65,2.72,4,141,8.77,33,1,60,B,15.6,1.961579803
CB8-2C,NY,CB,CB8,CB.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,0.5,3.351032164
CB8-3A,NY,CB,CB8,CB.8,1.513,1.96,3.17,2.54,1,116.2,6.8,3,0,NA,A,16.9,3.692974221
CB9-1A,NY,CB,CB9,CB.9,NA,NA,NA,NA,NA,97.7,6.73,11,0,68,A,20.9,3.015928947
CB9-1B,NY,CB,CB9,CB.9,1.489,1.93,2.54,2.28,2,94.2,5.9,31,1,57,B,19.4,2.700831893
CB9-1C,NY,CB,CB9,CB.9,1.505,1.95,3.36,2.92,4,72.4,5.34,40,3,56,C,14.2,2.661113777
CB9-2B,NY,CB,CB9,CB.9,1.491,1.93,3.34,2.83,4,90,5.5,17,0,NA,B,12.7,3.619114737
CB9-2C,NY,CB,CB9,CB.9,NA,NA,NA,NA,NA,100,6.04,38,0,63,C,20.5,3.015928947
CB9-3A,NY,CB,CB9,CB.9,NA,NA,NA,NA,NA,99.8,7.26,10,0,66,A,8.7,4.761993075
CH1-1A,VT,CH,CH1,CH.1,NA,NA,NA,NA,NA,90.1,4.9,14,0,54,A,8,3.619114737
CH1-1B,VT,CH,CH1,CH.1,1.45,1.88,3.35,3.3,4,NA,NA,NA,NA,62,B,13.3,3.231352444
CH1-1C,VT,CH,CH1,CH.1,1.486,1.92,2.47,2.12,3,NA,NA,NA,NA,NA,C,8,3.351032164
CH1-2A,VT,CH,CH1,CH.1,NA,NA,NA,NA,NA,88.4,6.76,5,0,70,A,12.3,3.548151703
CH1-2B,VT,CH,CH1,CH.1,NA,NA,NA,NA,NA,85.2,5.92,14,0,53,B,13.1,3.769911184
CH1-2C,VT,CH,CH1,CH.1,1.448,1.88,2.5,2.03,3,NA,NA,NA,NA,NA,C,6.7,3.351032164
CH12-1A,VT,CH,CH12,CH.12,1.458,1.89,3.3,3.55,1,69.3,4.7,10,0,NA,A,8.9,4.89069559
CH12-1C,VT,CH,CH12,CH.12,NA,NA,NA,NA,NA,72,5,12,4,55,C,10.1,3.769911184
CH12-2B,VT,CH,CH12,CH.12,NA,NA,NA,NA,NA,59,4.78,22,13,49,B,13.1,4.021238597
CH12-2C,VT,CH,CH12,CH.12,1.455,1.88,2.88,2.57,3,58,4.62,18,12,47,C,12.8,3.933820366
CH12-3B,VT,CH,CH12,CH.12,NA,NA,NA,NA,NA,85.2,5.89,16,4,52,B,14.8,2.783934413
CH12-3C,VT,CH,CH12,CH.12,1.477,1.91,2.69,2.18,3,80.3,6.33,28,2,54,C,22.6,1.90479723
CH15-1A,VT,CH,CH15,CH.15,NA,NA,NA,NA,NA,67.9,4.59,19,3,53,A,14.8,3.769911184
