tube ,Replicate,cross,Dam,damFam,Sire,sireFam,F1_FCM
93,2,WV_8_2_x_JF_25_1,WV_8_2,WV_8,JF_25_1,JF_25,1.935243714
94,4,WV_8_2_x_JF_25_1,WV_8_2,WV_8,JF_25_1,JF_25,1.970121094
95,3,MP_C_1_x_FC_26_1,MP_C_1,MP_C,FC_26_1,FC_26,1.921043574
96,5,CB_9_1_x_PR_16_2,CB_9_1,CB_9,PR_16_2,PR_16,1.895378841
97,5,CO_6_2_x_CB_4_1,CO_6_2,CO_6,CB_4_1,CB_4,1.885622179
98,1,CH_2_2_x_MP_12_1,CH_2_2,CH_2,MP_12_1,MP_12,1.959072352
99,5,CH_2_2_x_MP_12_1,CH_2_2,CH_2,MP_12_1,MP_12,2.030602759
100,1A,CH_2_2_x_MP_12_1,CH_2_2,CH_2,MP_12_1,MP_12,1.888430316
101,2,MP_5_1_x_SP_6B_2,MP_5_1,MP_5,SP_6B_2,SP_6B,1.904461485
102,4,MP_5_1_x_SP_6B_2,MP_5_1,MP_5,SP_6B_2,SP_6B,1.930271427
103,3,MP_5_1_x_SP_6B_2,MP_5_1,MP_5,SP_6B_2,SP_6B,1.894735052
104,2,MP_9_2_x_WR_R_1,MP_9_2,MP_9,WR_R_1,WR_R,1.912679871
105,3,MP_9_2_x_WR_R_1,MP_9_2,MP_9,WR_R_1,WR_R,1.886894075
106,6,MP_9_2_x_WR_R_1,MP_9_2,MP_9,WR_R_1,WR_R,1.9114997
107,1,MP_C_1_x_FC_26_1,MP_C_1,MP_C,FC_26_1,FC_26,1.921852388
108,4,MP_C_1_x_FC_26_1,MP_C_1,MP_C,FC_26_1,FC_26,1.944963869
109,1A,MP_C_1_x_FC_26_1,MP_C_1,MP_C,FC_26_1,FC_26,1.920643653
110,4,DF_19_2_x_CO_19_1,DF_19_2,DF_19,CO_19_1,CO_19,1.939874188
111,2,DF_19_2_x_CO_19_1,DF_19_2,DF_19,CO_19_1,CO_19,1.899818025
112,5,DF_19_2_x_CO_19_1,DF_19_2,DF_19,CO_19_1,CO_19,1.895768934
113,2,PR_12_1_x_JF_25_1,PR_12_1,PR_12,JF_25_1,JF_25,1.906686879
114,6,PR_12_1_x_JF_25_1,PR_12_1,PR_12,JF_25_1,JF_25,1.932504932
115,3,PR_12_1_x_JF_25_1,PR_12_1,PR_12,JF_25_1,JF_25,1.872649432
116,6,PR_12_6_x_WV_8_2,PR_12_6,PR_12,WV_8_2,WV_8,1.898809524
117,3,PR_12_6_x_WV_8_2,PR_12_6,PR_12,WV_8_2,WV_8,1.861971473
118,5,PR_12_6_x_WV_8_2,PR_12_6,PR_12,WV_8_2,WV_8,1.872678055
119,5,PR_16_2_x_SP_6B_2,PR_16_2,PR_16,SP_6B_2,SP_6B,1.894448892
120,2,PR_16_2_x_SP_6B_2,PR_16_2,PR_16,SP_6B_2,SP_6B,1.865943767
121,1,PR_16_2_x_SP_6B_2,PR_16_2,PR_16,SP_6B_2,SP_6B,1.853846878
