"","cross","diffK1mean","diffK1sqmean","ht","wt","stemwid","dff","sla","totFl"
"1","CB-9-1_x_PR-16-2",0.284431,0.080900993761,-14.0061092943961,-0.116567063838896,-0.303338145035297,-0.000637209888545087,-0.0429583220125884,-2.05555348462945
"2","CB-9-1_x_WV-7-2",0.610503,0.372713913009,10.8835843447066,1.48520726342785,0.0312644315315508,-0.000802235817023698,0.024976413655347,1.53559454872491
"3","CH-2-2_x_MP-12-1",NA,NA,8.61333609325328,0.523062843234667,-0.0109882626749921,0.000656491539049392,0.0313703216668212,1.31356466321248
"4","CO-11-1_x_FL-9-1",0.08684,0.0075411856,-13.9064337892512,-1.80939549565603,-0.204410330880797,0.000285618511480255,-0.0260501745761714,-0.612270238889082
"5","CO-11-1_x_SP-20-2",0.333086,0.110946283396,0.945120116811946,1.61064172287622,0.109429163299519,0.000323689144274362,NA,3.53541876326142
"6","CO-6-2_x_CB-4-1",0.075061647,0.00563425085035261,35.3893275860944,1.91957505753686,0.269460206366177,-0.00168710436535732,-0.0329294026801412,-0.309033285057288
"7","CO-9-1_x_HV-18-1",0.314391,0.098841700881,-2.25765879280968,2.02623587570362,-0.157738009351386,-0.000184863736633906,-0.0180646165061139,6.61603643881429
"8","DF-19-2_x_CO-19-1",0.484696308,0.234930510988831,-11.4357894790975,-0.540759354974037,-0.346617083302753,0.000253478285317051,0.0222389947116014,-0.984431051160305
"9","FC-9-2_x_JF-25-1",0.99998,0.9999600004,-18.4537511845336,-4.13012335662449,-0.345838524452227,-0.0017591108959147,0.0168935997095537,-4.83086764051167
"10","FL-6-2_x_LH-10-2",0.118802,0.014113915204,-1.82656042759016,0.527723078823013,-0.147321835898807,0.000142423492007626,0.0126063461154165,5.40058058470011
"11","FL-9-2_x_JF-25-1",0.76093,0.5790144649,-8.51537172894766,-1.25409489575219,-0.060282700867539,NA,NA,0.0182153963482454
"12","FL-9-2_x_MC-4-2",0.23504,0.0552438016,7.89347167838131,4.24006025794858,0.214257608312438,-0.00048234741457113,-0.0259024171179592,9.07900184368667
"13","JF-14-1_x_FC-21-1",0.966392,0.933913497664,2.03464178436507,0.29719009117449,-0.0170508062868261,0.00129614482374633,-0.0214045988023428,-2.9963928516836
"14","JF-25-1_x_RM-54-2",0.99998,0.9999600004,-1.51290704755302,-0.0469088071874772,-0.026944194972604,-0.00100288191070833,-0.0221042870778079,-5.42651431501944
"15","JV-13-1_x_CB-9-1",0.029613,0.000876929769,5.64009028007351,-2.28088855662182,0.413415036894822,-0.00131387254638789,0.032427875471056,-1.0474009642107
"16","LH-13-1_x_JF-10-2",0.616641,0.380246122881,-5.38865019656687,-0.706752417251698,-0.293307745685257,0.000975828676559261,0.0506117788862466,1.07131662467202
"17","MC-1-1_x_JV-13-1",0.051384,0.002640315456,13.8736555477744,2.4864528326186,0.574804420149053,-0.000453174797060357,-0.00464527067197594,4.13259768257003
"18","MP-12-1_x_SP-16-2",0.257195,0.066149268025,6.05798578692703,-1.33354480120409,-0.19792532576499,0.0021487787438275,-0.00496458093382287,-4.88819488232333
"19","MP-2-2_x_JF-4-2B",0,0,2.08192568803386,0.0415889732669439,-0.0522695801587536,0.00134669966403969,0.0384609985384218,-2.19842259257342
"20","MP-5-1_x_SP-6B-2",0.455618,0.207587761924,12.7824785196444,-1.58558319561065,0.0495109956378473,-0.000864555007795844,-0.0341817118672455,-5.58505287779069
"21","MP-9-2_x_WR-R-1",0.412604,0.170242060816,-3.16701319771299,-1.52340826340507,-0.106411514697591,-0.000581097653991058,0.00823314334284451,-5.94830747070495
"22","MP-C-1_x_FC-26-1",NA,NA,-8.51194815908639,1.19777663418791,-0.142356765971569,NA,-0.0138933118257222,5.91642234462643
"23","PR-12-1_x_JF-25-1",0.99998,0.9999600004,-6.32482979206929,-1.49511300290298,0.277093780276482,-0.000559610423198506,0.0261260166196244,-8.8553441395051
"24","PR-12-6_x_WV-8-2",NA,NA,-2.98159078371088,-2.35311833885699,0.0440213346195512,NA,NA,-3.13236924950663
"25","PR-16-2_x_SP-6B-2",0.507343,0.257396919649,4.15903175392113,1.04609833185041,0.20949472322859,-0.000428188085065074,-0.00410035926256971,0.45234884873645
"26","PR-16-2_x_WV-7-2",0.894934,0.800906864356,-0.588039691694031,3.44887469899698,0.632580912306331,0.000735409668431288,-0.00867768672550693,5.44609688625844
"27","PR-19-2_x_CO-19-1",NA,NA,-9.67671355684528,-3.15703337762972,-0.179772336987686,NA,0.0032009226619853,3.43217418924556
"28","PR-2-1_x_WV-8-2",NA,NA,2.02385040242721,-1.03400440982552,-0.180882948071146,0.000148913032635064,0.00710401494721207,-0.181016926160999
"29","RM-53-1B_x_CO-2-1",0.298576231,0.0891477657181654,-1.92654437703699,0.584820006362587,-0.0539901057540621,0.000970620337237401,NA,1.52091264807028
