pop	Ind	AnK2_K1	AnK2_K2	AnK3_K3	GenSize	PC1	PC2	PC3	PC4	HybClass_LDjacea	HybClass_LDnigra
SH	SH.21	1.00E-05	0.99999	0.00001	NA	-4.171586212	-2.519934995	-2.165529287	-1.119724521	jacea	jacea
SH	SH.25	1.00E-05	0.99999	0.00001	1.893333333	-3.769273991	-2.452906352	-0.293960608	1.493952246	jacea	BC2_jacea
SH	SH.26	1.00E-05	0.99999	0.00001	1.9	-3.11663696	-2.7331141	-0.008185228	-0.322925476	jacea	BC2_jacea
SH	SH.4	1.00E-05	0.99999	0.00001	NA	-5.490278396	-2.590692167	-1.612542934	3.843561439	jacea	BC2_jacea
SH	SH.5	1.00E-05	0.99999	0.04754	1.886666667	-4.689862077	-2.018911111	-1.226416006	1.623145282	jacea	BC2_jacea
SH	SH.6	0.544477	0.455523	0.00001	1.886666667	2.533606889	-2.491327246	5.963307763	0.171249294	F2	F2
SH	SH.7	1.00E-05	0.99999	0.00001	NA	-4.959474247	-2.657945719	-1.578789316	1.748085762	jacea	jacea
SH	SH.9	0.045944	0.954056	0.00001	NA	-4.430695025	-2.819581111	-1.14702487	2.303798728	jacea	jacea
SP	SP.1	0.558173	0.441827	0.104649	NA	1.67297836	-1.390003852	3.627394272	0.298165773	F2	F2
SP	SP.14	0.244942	0.755058	0.091125	NA	-1.141351656	-2.181663731	2.828682306	-2.395600627	BC2_jacea	F2
SP	SP.18	0.597953	0.402047	0.171102	1.886666667	2.644929115	-1.184531336	5.334747453	2.212384029	F2	F2
SP	SP.1B	0.599726	0.400274	0.087822	NA	3.446152342	-2.674893052	7.200464793	1.717911405	F2	F2
SP	SP.20	0.485306	0.514694	0.206759	1.875	1.525688357	-0.860091327	4.311883262	0.432049127	F2	F2
SP	SP.3	0.613641	0.386359	0.077917	NA	2.240840779	-2.325398353	7.593348242	-2.147811498	F2	F2
SP	SP.3B	0.537108	0.462892	0.172321	NA	2.693029505	-1.900571322	6.167609774	2.742780912	BC1_jacea	F2
SP	SP.4	0.617657	0.382343	0.064698	NA	3.566142155	-2.660610554	8.163340459	3.06410426	F2	F2
SP	SP.4B	0.629166	0.370834	0.00001	1.9	2.523212808	-2.11908514	4.979965575	0.675148334	F2	BC2_nigra
SP	SP.6B	0.544372	0.455628	0.038011	1.866666667	1.745011964	-1.275362814	3.896359489	0.538056742	F2	F2
SP	SP.7B	0.616753	0.383247	0.069027	NA	3.979741307	-2.511630062	6.683299243	3.541527686	F2	BC1_nigra
TH	TH.10B	0.99999	1.00E-05	0.00001	1.955	7.05539471	-2.271520751	-2.150152152	0.387802203	nigra	nigra
TH	TH.11B	0.99999	1.00E-05	0.00001	NA	8.455699277	-4.729697646	-2.599457649	0.401219574	nigra	nigra
TH	TH.13B	0.99999	1.00E-05	0.00001	NA	5.869400924	-3.421262213	-1.715220361	-1.998386461	nigra	nigra
TH	TH.14B	0.935269	0.064731	0.00001	1.96	5.60086142	-3.688789621	-2.417123295	-0.904470916	BC2_nigra	nigra
TH	TH.15B	0.99999	1.00E-05	0.00001	1.95	9.256396888	-4.219660435	-2.507677859	1.631063834	nigra	nigra
TH	TH.16B	0.99999	1.00E-05	0.00001	NA	6.661462173	-3.365352173	-2.857366935	2.590115529	nigra	nigra
TH	TH.17B	0.99999	1.00E-05	0.00001	NA	7.363954994	-4.091981872	-2.136937463	1.377741825	nigra	nigra
TH	TH.19B	0.498029	0.501971	0.00001	1.953333333	1.953988693	-4.112449938	-2.194682578	2.024234783	F2	F2
TH	TH.1B	0.866815	0.133185	0.00001	1.9725	4.277317525	-3.073080135	-1.12257364	0.275771612	nigra	BC2_nigra
TH	TH.20B	0.985501	0.014499	0.00001	NA	4.452228169	-2.067037906	-0.842132774	0.979377987	nigra	nigra
TH	TH.21B	0.486087	0.513913	0.00001	1.936666667	1.358122083	-2.977199831	-1.680616433	-1.056273706	F2	F2
TH	TH.5B	0.99999	1.00E-05	0.00001	NA	7.572106198	-3.964337895	-2.056418483	1.498508475	nigra	nigra
TH	TH.6B	0.99999	1.00E-05	0.00001	NA	7.554913501	-3.781424591	-2.5429674	0.349573593	nigra	nigra
TH	TH.8B	0.99999	1.00E-05	0.00001	1.955	5.421560573	-3.204778646	-1.744587218	-1.265317849	nigra	nigra
WR	WR.10	0.509493	0.490507	0.131715	NA	2.403620952	-2.118934385	7.763954347	2.153150443	F2	F2
WR	WR.11	0.556121	0.443879	0.00001	NA	1.725038746	-2.528979497	7.009346264	2.666149187	F2	F2
WR	WR.12	0.49398	0.50602	0.123947	NA	1.410259079	-0.64788293	3.128029707	0.667017869	F2	F2
WR	WR.14	0.565626	0.434374	0.187036	1.883333333	3.203271413	-1.344804986	6.283005202	3.340700617	F2	F2
WR	WR.17	0.465442	0.534558	0.078194	1.883333333	0.691945264	-2.101076765	5.406633454	-2.272406883	BC2_jacea	F2
WR	WR.18	0.56122	0.43878	0.153509	NA	2.341775201	-1.6396663	6.736434905	1.636119581	BC1_jacea	BC1_nigra
WR	WR.2	0.029447	0.970553	0.00001	NA	-3.938514933	-2.308683301	-0.892826514	1.73738574	jacea	jacea
WR	WR.21B	0.537037	0.462963	0.077398	1.862	2.807728551	-1.691421589	7.676672805	2.394101282	F2	F2
WR	WR.3	0.512639	0.487361	0.09783	NA	2.701750735	-2.460354717	6.450153278	2.756450645	F2	F2
WR	WR.4	0.509413	0.490587	0.00001	1.876666667	1.155647505	-2.127558967	6.429171619	-0.633679895	F2	F2
WR	WR.6B	0.53115	0.46885	0.228881	1.9	2.428848576	-1.292465389	5.709054833	1.250846603	F2	F2
WR	WR.R	0.480274	0.519726	0.026916	1.89	1.076536241	-1.438936315	4.974488953	1.300599177	BC2_jacea	F2
WR	WR.X	0.545087	0.454913	0.129591	NA	2.240808341	-1.857209541	7.582984915	-0.729535534	F2	F2
WR	WR.Y	0.532284	0.467716	0.185355	1.895	1.753196535	-1.712204758	6.294822446	-0.846229487	F2	F2
WR	WR.Z	0.462976	0.537024	0.084366	NA	0.973951858	-1.37684459	3.059086599	-0.161876604	F2	F2
WV	WV.10	0.99999	1.00E-05	0.00001	1.963333333	7.825869881	-2.418975571	-1.722087417	1.137502607	nigra	nigra
WV	WV.11	0.99999	1.00E-05	0.00001	1.95	6.841638696	-2.103450004	-2.473316052	1.095409103	nigra	nigra
WV	WV.12	0.892347	0.107653	0.240364	1.953333333	7.728752747	-1.990766625	-1.996097621	2.619135031	BC2_nigra	BC1_nigra
WV	WV.13	0.600528	0.399472	0.489536	NA	2.381908391	0.568160338	-0.220408073	-0.444102558	F2	F2
WV	WV.14	0.704402	0.295598	0.402625	NA	4.219905524	-0.440194259	-2.222814997	0.435322511	F2	BC2_nigra
WV	WV.2	0.862132	0.137868	0.259614	1.936666667	6.443872982	-1.708357917	-1.559374046	2.876690906	BC2_nigra	BC2_nigra
WV	WV.20	0.927259	0.072741	0.146267	NA	7.850570913	-2.615219025	-3.352230285	1.901592468	nigra	nigra
WV	WV.4	0.835964	0.164036	0.231102	1.93	4.177493855	-1.950691628	-2.52400132	0.107537646	F2	BC2_nigra
WV	WV.7	0.931963	0.068037	0.00001	1.9775	5.516571843	-3.43197743	-1.692769692	-0.599324204	nigra	nigra
WV	WV.9	0.968979	0.031021	0.099124	NA	8.745727383	-3.584480915	-2.900123142	3.860693568	nigra	BC2_nigra
