pop	Ind	AnK2_K1	AnK2_K2	AnK3_K3	GenSize	PC1	PC2	PC3	PC4	HybClass_LDjacea	HybClass_LDnigra
DF	DF.1	1.00E-05	0.99999	0.00001	NA	-4.262183818	-2.59363037	-1.250865363	1.844862303	jacea	jacea
DF	DF.10	0.000589	0.999411	0.00001	1.895	-5.192381918	-2.258842156	-1.171976747	3.040923674	jacea	jacea
DF	DF.11	1.00E-05	0.99999	0.00001	1.91	-6.432958176	-2.339384432	-2.116873137	4.334536786	jacea	jacea
DF	DF.14	1.00E-05	0.99999	0.045279	NA	-6.709935961	-2.562250007	-2.526554589	-0.1213191	jacea	jacea
DF	DF.16	1.00E-05	0.99999	0.00001	1.91	-6.653597224	-3.383074596	-1.788423405	-0.540201008	jacea	jacea
DF	DF.2	1.00E-05	0.99999	0.00001	NA	-5.239508873	-2.872063472	-1.937735594	1.689271074	jacea	jacea
DF	DF.23	0.035888	0.964112	0.00001	NA	-3.668477543	-2.905423844	-0.106703371	-1.820976923	jacea	BC2_jacea
DF	DF.25	0.013053	0.986947	0.028042	NA	-5.256924321	-2.134207011	-1.858812089	4.076793653	jacea	jacea
DF	DF.27	1.00E-05	0.99999	0.02671	NA	-5.624521014	-2.06327365	-1.376193663	2.841235943	jacea	jacea
DF	DF.29	1.00E-05	0.99999	0.00001	NA	-2.576987718	-1.306209571	0.490247033	1.588872557	jacea	jacea
DF	DF.30	1.00E-05	0.99999	0.00001	1.896666667	-5.111032969	-2.693619042	-0.895854006	2.169686817	jacea	jacea
DF	DF.31	1.00E-05	0.99999	0.00001	NA	-6.064206568	-3.371802875	-1.112368074	-3.55410023	jacea	jacea
DF	DF.7	1.00E-05	0.99999	0.00001	NA	-3.140747439	-2.049698986	-1.478813592	-2.095556433	jacea	jacea
FC	FC.1	0.033642	0.966358	0.00001	NA	-4.023302248	-2.509545093	-0.480777913	1.059762579	jacea	F2
FC	FC.10	1.00E-05	0.99999	0.00001	NA	-2.610335706	-0.604772973	-0.193122851	-0.233640494	jacea	jacea
FC	FC.11	1.00E-05	0.99999	0.165146	1.87	-1.491028089	-0.539052828	0.054119651	-1.121212833	jacea	jacea
FC	FC.14	0.077686	0.922314	0.191925	NA	-4.621775757	-1.080792545	-1.554616626	2.060289873	jacea	BC2_jacea
FC	FC.15	1.00E-05	0.99999	0.00001	NA	-2.245082	-1.141211044	0.03470616	-0.387873447	jacea	jacea
FC	FC.19	0.053789	0.946211	0.160807	1.883333333	-4.059602904	-1.553998468	-1.829689524	0.639980553	jacea	BC1_jacea
FC	FC.20	0.009692	0.990308	0.166142	NA	-3.153806634	-1.438738695	-0.863585396	-1.991837722	jacea	jacea
FC	FC.21	0.033598	0.966402	0.061179	1.875	-3.242317431	-2.543442213	-1.14412453	-1.667145205	jacea	BC2_jacea
FC	FC.22	0.022614	0.977386	0.169338	NA	-5.53239875	-1.790432917	-1.542697806	3.881174033	jacea	jacea
FC	FC.24	0.016151	0.983849	0.232235	1.9	-2.164247847	-0.543076201	-0.251388217	0.261940892	jacea	BC2_jacea
FC	FC.25	1.00E-05	0.99999	0.00001	1.893333333	-1.787641039	-1.04452943	0.540951757	0.170973506	jacea	jacea
FC	FC.3	0.029658	0.970342	0.036032	NA	-3.575190949	-2.905530181	-0.077980728	-2.524141664	jacea	BC2_jacea
FC	FC.5	1.00E-05	0.99999	0.040735	1.91	-4.745180726	-1.769191592	-0.928295014	-0.049104379	jacea	jacea
FC	FC.6	1.00E-05	0.99999	0.023126	NA	-5.623796718	-2.324678493	-0.298080893	-3.19444876	jacea	jacea
FC	FC.8	1.00E-05	0.99999	0.109555	1.885	-3.836175484	-0.843863657	-0.474278823	1.051690032	jacea	jacea
FC	FC.9	1.00E-05	0.99999	0.00001	NA	-2.748401827	-0.810301498	-0.09591524	-0.479452461	jacea	jacea
